Sl. No,Soil Series,Area,Lat,Long,"Depth, cm, beginning","Depth, end",Sand,Clay,pH,Organic Carbon
1,AKSHAYANAGAR,159300,21.85,88.23,0,11,2.4,50.1,5.5,0.48
,,,21.85,88.23,11,34,4.8,51.1,5.8,0.38
,,,21.85,88.23,34,61,5,54.1,5.7,0.32
,,,21.85,88.23,61,91,3,53.1,5.4,0.3
,,,21.85,88.23,91,103,3.3,54.5,5.8,0.25
,,,21.85,88.23,103,139,4.6,52.1,6.2,0.27
2,ALINAGAR,37300,24.87,88.05,0,14,44.8,15.6,7.6,0.42
,,,24.87,88.05,14,38,38.8,18.8,7.9,0.23
,,,24.87,88.05,38,67,86,9.8,7.7,0.35
,,,24.87,88.05,67,96,80,9.8,7.7,0.3
,,,24.87,88.05,96,120,79,10.8,7.6,0.28
,,,24.87,88.05,120,150,62.6,11.8,7.5,0.3
3,AMLITALA,12900,25.2,84.25,0,14,35,16.4,5.8,0.6
,,,25.2,84.25,14,36,28,20.4,6.8,0.4
,,,25.2,84.25,36,52,30,21.2,7,0.3
,,,25.2,84.25,52,75,14.8,28,7.2,0.35
,,,25.2,84.25,75,130,21.6,20,7.2,0.25
4,BADMATI,11700,23.8,87.53,0,8,55.3,13.8,5.5,0.3
,,,23.8,87.53,8,25,57.5,11.8,5.7,0.28
5,KUSMASULI,117300,22.72,87.28,0,15,67,15.1,5.8,0.57
,,,22.72,87.28,15,34,55.8,19.5,5.5,0.45
,,,22.72,87.28,34,63,52,27.6,5.5,0.45
,,,22.72,87.28,63,126,48.2,34.7,5.8,0.44
,,,22.72,87.28,126,160,47.5,32.5,6.1,0.38
6,KUSMI,130700,22.98,87.03,0,16,44.3,31.7,5.6,0.34
,,,22.98,87.03,16,30,39,31.9,5.3,0.24
,,,22.98,87.03,30,47,47,33,5.5,0.17
,,,22.98,87.03,47,81,49,32.8,5.6,0.12
,,,22.98,87.03,81,110,50,37,5.6,0.12
7,LOTAFELA,35200,26.21,88.63,0,14,54,18.7,7.6,0.75
,,,26.21,88.63,14,31,54.5,16.7,8,0.4
,,,26.21,88.63,31,50,27,10.7,8.1,0.32
,,,26.21,88.63,50,75,31.7,14.3,8.1,0.2
,,,26.21,88.63,75,130,55,12.3,6.8,0.11
8,MANPUR,14800,23.32,86.2,0,13,68.9,15.5,6,0.25
,,,23.32,86.2,13,37,48.5,24.7,6.7,0.14
,,,23.32,86.2,37,58,47.4,29,5.9,0.43
,,,23.32,86.2,58,91,47.5,27.6,5.8,0.35
,,,23.32,86.2,91,150,55.5,24.4,6.5,0.25
9,MATIARKUTHI,21960,26.33,89.3,0,15,55,19.9,5.6,1.2
,,,26.33,89.3,15,37,58,18.9,7.1,0.3
,,,26.33,89.3,37,75,85.4,6.9,4.6,2.7
,,,26.33,89.3,75,102,74.4,7.9,7,2.5
10,MECHPARA,105400,26.8,88.67,0,26,50,12,4.6,0.74
,,,26.8,88.67,26,51,74.8,19.5,6.1,0.12
,,,26.8,88.67,51,80,31.6,18.4,6.3,0.14
11,NAMPUR,23500,24.9,88.5,0,22,8,44.1,7.9,0.45
,,,24.9,88.5,22,51,6.8,49.4,7.7,0.22
,,,24.9,88.5,51,81,5.6,50.1,7.5,0.35
,,,24.9,88.5,81,105,4,54.1,7.9,0.39
,,,24.9,88.5,105,128,4,53.9,7.8,0.13
,,,24.9,88.5,128,150,3.6,54,7.9,0.14
12,NANCHPAHARI,18500,24.32,87.67,0,15,20.3,19.2,5.9,0.51
,,,24.32,87.67,15,40,21.7,27.2,6.8,0.18
,,,24.32,87.67,40,70,30.9,32.8,6.8,0.14
,,,24.32,87.67,70,102,29.1,36.3,6.7,0.09
,,,24.32,87.67,102,150,28.6,37.5,6.9,0.11
13,NAODA,54700,25.7,88.27,0,10,80.2,13.5,7,0.4
,,,25.7,88.27,10,31,90.1,7.4,7.5,0.32
,,,25.7,88.27,31,60,89.3,7.6,7.2,0.2
,,,25.7,88.27,60,93,86.5,8.1,7,0.18
14,NARAYANPARA,12900,22.9,58.3,0,10,19,37,6.1,0.54
,,,22.9,58.3,10,22,16.4,37,6.4,0.29
,,,22.9,58.3,22,50,12,41,6.5,0.16
,,,22.9,58.3,50,75,10.2,43.4,6.7,0.12
,,,22.9,58.3,75,100,6.9,48,6.8,0.08
15,PANCHPOTA,62300,23.07,88.75,0,18,11.6,11.5,6,0.3
,,,23.07,88.75,18,39,7,22,6.4,0.2
,,,23.07,88.75,39,67,8.1,20.8,6.5,0.15
,,,23.07,88.75,67,92,15.6,15.1,7,0.08
,,,23.07,88.75,92,112,16.1,25,6.6,0.24
,,,23.07,88.75,112,140,34.8,18.3,6.6,0.12
,,,23.07,88.75,140,150,38.3,12,6.5,0.06
16,PATAPAHARI,50000,23,86.55,0,16,52,22.5,6.2,0.38
,,,23,86.55,16,33,36,28.5,6.4,0.38
17,PATIBUNIA,120900,21.6,88.23,0,13,0.2,19.8,8.2,0.6
,,,21.6,88.23,13,37,0.4,39.8,8.1,0.4
,,,21.6,88.23,37,69,0.4,40.8,8,0.3
,,,21.6,88.23,69,97,0.4,32.8,7.9,0.3
,,,21.6,88.23,97,129,0.9,26.8,7.8,0.4
,,,21.6,88.23,129,156,0.6,37.8,7.6,0.6
18,RAJPUR,103700,26.3,89.32,0,17,36,13.7,7,0.48
,,,26.3,89.32,17,36,38,13.7,7.7,0.17
,,,26.3,89.32,36,53,20,23.7,6.1,0.51
,,,26.3,89.32,53,75,18,25.7,6.6,0.44
,,,26.3,89.32,75,130,15.1,32.7,7.6,0.4
19,RAMMAN,12300,27.15,88.08,0,10,57.1,15.1,5,7
,,,27.15,88.08,10,23,60.1,18.1,5,2.88
20,RANGAMATI,37100,23.5,86.23,0,11,28.6,23,6,0.55
,,,23.5,86.23,11,26,32.92,38.7,6.9,0.54
,,,23.5,86.23,26,51,26.9,44,7,0.39
,,,23.5,86.23,51,89,25.7,45.3,6.7,0.3
,,,23.5,86.23,89,120,24.4,46.3,6.5,0.37
21,RUGRI,35000,23.3,86.18,0,13,48.7,20.5,5.4,0.35
,,,23.3,86.18,13,26,41.3,34.2,6.5,0.18
,,,23.3,86.18,26,43,37,34.5,5.6,0.31
22,RUISANDA,98800,22.37,87.35,0,13,12.8,43.9,6.4,0.45
,,,22.37,87.35,13,42,11,53.7,6.3,0.35
,,,22.37,87.35,42,66,6.2,56.5,6.5,0.33
,,,22.37,87.35,66,85,7.3,58.4,6.6,0.24
,,,22.37,87.35,85,135,6.5,62.2,6.4,0.19
23,SADAIPUR,89000,23.25,87.47,0,11,42.7,30.5,6.5,0.15
,,,23.25,87.47,11,27,42.4,36.9,7.3,0.11
,,,23.25,87.47,27,44,43.2,37.3,7.4,0.1
,,,23.25,87.47,44,64,45.5,38.5,7.4,0.1
,,,23.25,87.47,64,100,43.4,40,7.4,0.1
,,,23.25,87.47,100,130,34.1,35.8,7.3,0.1
24,SAHAZADPUR,142500,25.2,88.23,0,14,14.5,21.3,6,0.27
,,,25.2,88.23,14,38,9.2,34.6,6.6,0.08
,,,25.2,88.23,38,66,11.8,33.8,6.5,0.05
,,,25.2,88.23,66,98,11.6,34.5,6.6,0.09
,,,25.2,88.23,98,149,10.7,47.5,6.7,0.08
25,SALMARA,119200,24.4,88.2,0,14,4.8,31.7,6.9,0.45
,,,24.4,88.2,14,40,6.9,29.1,7,0.36
,,,24.4,88.2,40,61,8,15.4,7.1,0.22
,,,24.4,88.2,61,81,1.9,31.8,6.8,0.41
,,,24.4,88.2,81,106,5.9,24.8,7.3,0.33
,,,24.4,88.2,106,127,16.4,20.3,6.7,0.24
26,SARIPABASA,4100,23.68,88.12,0,16,33.6,31.6,5.5,0.48
,,,23.68,88.12,16,33,35,35.8,6,0.45
,,,23.68,88.12,33,48,42.3,33.5,6.3,0.45
27,GANGAJAL GHATI,8400,23.42,87.1,0,16,69.2,11.9,5.8,0.17
,,,23.42,87.1,16,39,67.8,15.2,5.9,0.12
,,,23.42,87.1,39,68,64.4,19.1,6,0.1
,,,23.42,87.1,68,88,65.1,19.3,6.2,0.1
28,SIRKABAD,109000,23.68,88.12,0,14,72.5,15.2,5.7,0.28
,,,23.68,88.12,14,51,48.7,26,6.3,0.21
,,,23.68,88.12,51,87,42.2,35.6,6.3,0.2
,,,23.68,88.12,87,141,42.5,36,6.5,0.13
,,,23.68,88.12,141,150,45.2,30.3,6.7,0.1
29,BANSGHATA,71100,23.12,88.9,0,22,10.6,42.5,7,0.5
,,,23.12,88.9,22,31,10,43.7,7.2,0.38
,,,23.12,88.9,31,76,6,47.7,7.5,0.2
,,,23.12,88.9,76,104,6.4,48.3,7.7,0.14
,,,23.12,88.9,104,131,6,48,7.8,0.1
,,,23.12,88.9,131,150,4,50.2,8,0.07
